EmployeeNumber,Variable,Value
1001,EmployeeCount,1
1002,EmployeeCount,1
1003,EmployeeCount,1
1004,EmployeeCount,1
1005,EmployeeCount,1
1006,EmployeeCount,1
1007,EmployeeCount,1
1009,EmployeeCount,1
1010,EmployeeCount,1
1011,EmployeeCount,1
1012,EmployeeCount,1
1013,EmployeeCount,1
1014,EmployeeCount,1
1015,EmployeeCount,1
1016,EmployeeCount,1
1017,EmployeeCount,1
1018,EmployeeCount,1
1019,EmployeeCount,1
1022,EmployeeCount,1
1024,EmployeeCount,1
1025,EmployeeCount,1
1026,EmployeeCount,1
1027,EmployeeCount,1
1028,EmployeeCount,1
1029,EmployeeCount,1
1030,EmployeeCount,1
1032,EmployeeCount,1
1033,EmployeeCount,1
1034,EmployeeCount,1
1035,EmployeeCount,1
1036,EmployeeCount,1
1037,EmployeeCount,1
1038,EmployeeCount,1
1039,EmployeeCount,1
1040,EmployeeCount,1
1042,EmployeeCount,1
1043,EmployeeCount,1
1044,EmployeeCount,1
1045,EmployeeCount,1
1046,EmployeeCount,1
1047,EmployeeCount,1
1048,EmployeeCount,1
1049,EmployeeCount,1
1050,EmployeeCount,1
1052,EmployeeCount,1
1053,EmployeeCount,1
1055,EmployeeCount,1
1056,EmployeeCount,1
1060,EmployeeCount,1
1061,EmployeeCount,1
1062,EmployeeCount,1
1066,EmployeeCount,1
1068,EmployeeCount,1
1069,EmployeeCount,1
1070,EmployeeCount,1
1071,EmployeeCount,1
1073,EmployeeCount,1
1074,EmployeeCount,1
1076,EmployeeCount,1
1077,EmployeeCount,1
1079,EmployeeCount,1
1080,EmployeeCount,1
1081,EmployeeCount,1
1082,EmployeeCount,1
1083,EmployeeCount,1
1084,EmployeeCount,1
1085,EmployeeCount,1
1088,EmployeeCount,1
1092,EmployeeCount,1
1094,EmployeeCount,1
1096,EmployeeCount,1
1097,EmployeeCount,1
1098,EmployeeCount,1
1099,EmployeeCount,1
1100,EmployeeCount,1
1101,EmployeeCount,1
1102,EmployeeCount,1
1103,EmployeeCount,1
1105,EmployeeCount,1
1106,EmployeeCount,1
1107,EmployeeCount,1
1108,EmployeeCount,1
1109,EmployeeCount,1
1111,EmployeeCount,1
1113,EmployeeCount,1
1114,EmployeeCount,1
1115,EmployeeCount,1
1116,EmployeeCount,1
1117,EmployeeCount,1
1118,EmployeeCount,1
1119,EmployeeCount,1
1120,EmployeeCount,1
1121,EmployeeCount,1
1124,EmployeeCount,1
1125,EmployeeCount,1
1126,EmployeeCount,1
1127,EmployeeCount,1
1128,EmployeeCount,1
1131,EmployeeCount,1
1132,EmployeeCount,1
1133,EmployeeCount,1
1135,EmployeeCount,1
1136,EmployeeCount,1
1137,EmployeeCount,1
1138,EmployeeCount,1
1140,EmployeeCount,1
1143,EmployeeCount,1
1148,EmployeeCount,1
1150,EmployeeCount,1
1152,EmployeeCount,1
1154,EmployeeCount,1
1156,EmployeeCount,1
1157,EmployeeCount,1
1158,EmployeeCount,1
1160,EmployeeCount,1
1161,EmployeeCount,1
1162,EmployeeCount,1
1163,EmployeeCount,1
1164,EmployeeCount,1
1165,EmployeeCount,1
1166,EmployeeCount,1
1167,EmployeeCount,1
1171,EmployeeCount,1
1172,EmployeeCount,1
1173,EmployeeCount,1
1175,EmployeeCount,1
1177,EmployeeCount,1
1179,EmployeeCount,1
1180,EmployeeCount,1
1182,EmployeeCount,1
1184,EmployeeCount,1
1185,EmployeeCount,1
1188,EmployeeCount,1
1190,EmployeeCount,1
1191,EmployeeCount,1
1192,EmployeeCount,1
1193,EmployeeCount,1
1195,EmployeeCount,1
1196,EmployeeCount,1
1198,EmployeeCount,1
1200,EmployeeCount,1
1201,EmployeeCount,1
1202,EmployeeCount,1
1203,EmployeeCount,1
1204,EmployeeCount,1
1206,EmployeeCount,1
1207,EmployeeCount,1
1210,EmployeeCount,1
1211,EmployeeCount,1
1212,EmployeeCount,1
1215,EmployeeCount,1
1216,EmployeeCount,1
1217,EmployeeCount,1
1218,EmployeeCount,1
1219,EmployeeCount,1
1220,EmployeeCount,1
1221,EmployeeCount,1
1224,EmployeeCount,1
1225,EmployeeCount,1
1226,EmployeeCount,1
1228,EmployeeCount,1
1231,EmployeeCount,1
1233,EmployeeCount,1
1234,EmployeeCount,1
1235,EmployeeCount,1
1237,EmployeeCount,1
1238,EmployeeCount,1
1239,EmployeeCount,1
1240,EmployeeCount,1
1241,EmployeeCount,1
1242,EmployeeCount,1
1243,EmployeeCount,1
1244,EmployeeCount,1
1245,EmployeeCount,1
1246,EmployeeCount,1
1248,EmployeeCount,1
1249,EmployeeCount,1
1250,EmployeeCount,1
1251,EmployeeCount,1
1252,EmployeeCount,1
1254,EmployeeCount,1
1255,EmployeeCount,1
1256,EmployeeCount,1
1257,EmployeeCount,1
1258,EmployeeCount,1
1259,EmployeeCount,1
1260,EmployeeCount,1
1263,EmployeeCount,1
1264,EmployeeCount,1
1265,EmployeeCount,1
1267,EmployeeCount,1
1268,EmployeeCount,1
1269,EmployeeCount,1
1270,EmployeeCount,1
1273,EmployeeCount,1
1275,EmployeeCount,1
1277,EmployeeCount,1
1278,EmployeeCount,1
1279,EmployeeCount,1
1280,EmployeeCount,1
1281,EmployeeCount,1
1282,EmployeeCount,1
1283,EmployeeCount,1
1285,EmployeeCount,1
1286,EmployeeCount,1
1288,EmployeeCount,1
1289,EmployeeCount,1
1291,EmployeeCount,1
1292,EmployeeCount,1
1293,EmployeeCount,1
1294,EmployeeCount,1
1295,EmployeeCount,1
1296,EmployeeCount,1
1297,EmployeeCount,1
1298,EmployeeCount,1
1299,EmployeeCount,1
1301,EmployeeCount,1
1303,EmployeeCount,1
1304,EmployeeCount,1
1306,EmployeeCount,1
1307,EmployeeCount,1
1308,EmployeeCount,1
1309,EmployeeCount,1
1310,EmployeeCount,1
1311,EmployeeCount,1
1312,EmployeeCount,1
1314,EmployeeCount,1
1315,EmployeeCount,1
1317,EmployeeCount,1
1318,EmployeeCount,1
1319,EmployeeCount,1
1321,EmployeeCount,1
1322,EmployeeCount,1
1324,EmployeeCount,1
1329,EmployeeCount,1
1331,EmployeeCount,1
1333,EmployeeCount,1
1334,EmployeeCount,1
1336,EmployeeCount,1
1338,EmployeeCount,1
1340,EmployeeCount,1
1344,EmployeeCount,1
1346,EmployeeCount,1
1349,EmployeeCount,1
1350,EmployeeCount,1
1352,EmployeeCount,1
1355,EmployeeCount,1
1356,EmployeeCount,1
1358,EmployeeCount,1
1360,EmployeeCount,1
1361,EmployeeCount,1
1362,EmployeeCount,1
1363,EmployeeCount,1
1364,EmployeeCount,1
1367,EmployeeCount,1
1368,EmployeeCount,1
1369,EmployeeCount,1
1371,EmployeeCount,1
1372,EmployeeCount,1
1373,EmployeeCount,1
1374,EmployeeCount,1
1375,EmployeeCount,1
1377,EmployeeCount,1
1379,EmployeeCount,1
1380,EmployeeCount,1
1382,EmployeeCount,1
1383,EmployeeCount,1
1387,EmployeeCount,1
1389,EmployeeCount,1
1390,EmployeeCount,1
1391,EmployeeCount,1
1392,EmployeeCount,1
1394,EmployeeCount,1
1395,EmployeeCount,1
1396,EmployeeCount,1
1397,EmployeeCount,1
1399,EmployeeCount,1
1401,EmployeeCount,1
1402,EmployeeCount,1
1403,EmployeeCount,1
1405,EmployeeCount,1
1407,EmployeeCount,1
1408,EmployeeCount,1
1409,EmployeeCount,1
1411,EmployeeCount,1
1412,EmployeeCount,1
1415,EmployeeCount,1
1417,EmployeeCount,1
1419,EmployeeCount,1
1420,EmployeeCount,1
1421,EmployeeCount,1
1422,EmployeeCount,1
1423,EmployeeCount,1
1424,EmployeeCount,1
1425,EmployeeCount,1
1427,EmployeeCount,1
1428,EmployeeCount,1
1430,EmployeeCount,1
1431,EmployeeCount,1
1433,EmployeeCount,1
1434,EmployeeCount,1
1435,EmployeeCount,1
1436,EmployeeCount,1
1438,EmployeeCount,1
1439,EmployeeCount,1
1440,EmployeeCount,1
1441,EmployeeCount,1
1443,EmployeeCount,1
1445,EmployeeCount,1
1446,EmployeeCount,1
1447,EmployeeCount,1
1448,EmployeeCount,1
1449,EmployeeCount,1
1453,EmployeeCount,1
1457,EmployeeCount,1
1458,EmployeeCount,1
1459,EmployeeCount,1
1460,EmployeeCount,1
1461,EmployeeCount,1
1464,EmployeeCount,1
1465,EmployeeCount,1
1466,EmployeeCount,1
1467,EmployeeCount,1
1468,EmployeeCount,1
1469,EmployeeCount,1
1471,EmployeeCount,1
1472,EmployeeCount,1
1473,EmployeeCount,1
1474,EmployeeCount,1
1475,EmployeeCount,1
1477,EmployeeCount,1
1478,EmployeeCount,1
1479,EmployeeCount,1
1480,EmployeeCount,1
1481,EmployeeCount,1
1482,EmployeeCount,1
1483,EmployeeCount,1
1484,EmployeeCount,1
1485,EmployeeCount,1
1486,EmployeeCount,1
1487,EmployeeCount,1
1489,EmployeeCount,1
1492,EmployeeCount,1
1494,EmployeeCount,1
1495,EmployeeCount,1
1496,EmployeeCount,1
1497,EmployeeCount,1
1499,EmployeeCount,1
1501,EmployeeCount,1
1502,EmployeeCount,1
1503,EmployeeCount,1
1504,EmployeeCount,1
1506,EmployeeCount,1
1507,EmployeeCount,1
1509,EmployeeCount,1
1513,EmployeeCount,1
1514,EmployeeCount,1
1515,EmployeeCount,1
1516,EmployeeCount,1
1520,EmployeeCount,1
1522,EmployeeCount,1
1523,EmployeeCount,1
1525,EmployeeCount,1
1527,EmployeeCount,1
1529,EmployeeCount,1
1533,EmployeeCount,1
1534,EmployeeCount,1
1535,EmployeeCount,1
1537,EmployeeCount,1
1539,EmployeeCount,1
1541,EmployeeCount,1
1542,EmployeeCount,1
1543,EmployeeCount,1
1544,EmployeeCount,1
1545,EmployeeCount,1
1546,EmployeeCount,1
1547,EmployeeCount,1
1548,EmployeeCount,1
1549,EmployeeCount,1
1550,EmployeeCount,1
1551,EmployeeCount,1
1552,EmployeeCount,1
1553,EmployeeCount,1
1554,EmployeeCount,1
1555,EmployeeCount,1
1556,EmployeeCount,1
1557,EmployeeCount,1
1558,EmployeeCount,1
1560,EmployeeCount,1
1562,EmployeeCount,1
1563,EmployeeCount,1
1564,EmployeeCount,1
1568,EmployeeCount,1
1569,EmployeeCount,1
1572,EmployeeCount,1
1573,EmployeeCount,1
1574,EmployeeCount,1
1576,EmployeeCount,1
1577,EmployeeCount,1
1578,EmployeeCount,1
1580,EmployeeCount,1
1581,EmployeeCount,1
1582,EmployeeCount,1
1583,EmployeeCount,1
1585,EmployeeCount,1
1586,EmployeeCount,1
1587,EmployeeCount,1
1588,EmployeeCount,1
1590,EmployeeCount,1
1591,EmployeeCount,1
1592,EmployeeCount,1
1594,EmployeeCount,1
1595,EmployeeCount,1
1596,EmployeeCount,1
1597,EmployeeCount,1
1598,EmployeeCount,1
1599,EmployeeCount,1
1601,EmployeeCount,1
1602,EmployeeCount,1
1604,EmployeeCount,1
1605,EmployeeCount,1
1606,EmployeeCount,1
1607,EmployeeCount,1
1608,EmployeeCount,1
1609,EmployeeCount,1
1611,EmployeeCount,1
1612,EmployeeCount,1
1613,EmployeeCount,1
1614,EmployeeCount,1
1615,EmployeeCount,1
1617,EmployeeCount,1
1618,EmployeeCount,1
1619,EmployeeCount,1
1621,EmployeeCount,1
1622,EmployeeCount,1
1623,EmployeeCount,1
1624,EmployeeCount,1
1625,EmployeeCount,1
1627,EmployeeCount,1
1628,EmployeeCount,1
1630,EmployeeCount,1
1631,EmployeeCount,1
1633,EmployeeCount,1
1635,EmployeeCount,1
1638,EmployeeCount,1
1639,EmployeeCount,1
1640,EmployeeCount,1
1641,EmployeeCount,1
1642,EmployeeCount,1
1644,EmployeeCount,1
1645,EmployeeCount,1
1646,EmployeeCount,1
1647,EmployeeCount,1
1648,EmployeeCount,1
1649,EmployeeCount,1
1650,EmployeeCount,1
1651,EmployeeCount,1
1653,EmployeeCount,1
1654,EmployeeCount,1
1655,EmployeeCount,1
1656,EmployeeCount,1
1657,EmployeeCount,1
1658,EmployeeCount,1
1659,EmployeeCount,1
1661,EmployeeCount,1
1662,EmployeeCount,1
1664,EmployeeCount,1
1665,EmployeeCount,1
1666,EmployeeCount,1
1667,EmployeeCount,1
1668,EmployeeCount,1
1669,EmployeeCount,1
1670,EmployeeCount,1
1671,EmployeeCount,1
1673,EmployeeCount,1
1674,EmployeeCount,1
1675,EmployeeCount,1
1676,EmployeeCount,1
1677,EmployeeCount,1
1678,EmployeeCount,1
1680,EmployeeCount,1
1681,EmployeeCount,1
1682,EmployeeCount,1
1683,EmployeeCount,1
1684,EmployeeCount,1
1687,EmployeeCount,1
1689,EmployeeCount,1
1691,EmployeeCount,1
1692,EmployeeCount,1
1693,EmployeeCount,1
1694,EmployeeCount,1
1696,EmployeeCount,1
1697,EmployeeCount,1
1698,EmployeeCount,1
1700,EmployeeCount,1
1701,EmployeeCount,1
1702,EmployeeCount,1
1703,EmployeeCount,1
1704,EmployeeCount,1
1706,EmployeeCount,1
1707,EmployeeCount,1
1708,EmployeeCount,1
1709,EmployeeCount,1
1710,EmployeeCount,1
1712,EmployeeCount,1
1714,EmployeeCount,1
1716,EmployeeCount,1
1718,EmployeeCount,1
1719,EmployeeCount,1
1720,EmployeeCount,1
1721,EmployeeCount,1
1722,EmployeeCount,1
1724,EmployeeCount,1
1725,EmployeeCount,1
1727,EmployeeCount,1
1728,EmployeeCount,1
1729,EmployeeCount,1
1731,EmployeeCount,1
1732,EmployeeCount,1
1733,EmployeeCount,1
1734,EmployeeCount,1
1735,EmployeeCount,1
1736,EmployeeCount,1
1737,EmployeeCount,1
1739,EmployeeCount,1
1740,EmployeeCount,1
1744,EmployeeCount,1
1745,EmployeeCount,1
1746,EmployeeCount,1
1747,EmployeeCount,1
1749,EmployeeCount,1
1751,EmployeeCount,1
1752,EmployeeCount,1
1753,EmployeeCount,1
1754,EmployeeCount,1
1755,EmployeeCount,1
1756,EmployeeCount,1
1757,EmployeeCount,1
1758,EmployeeCount,1
1760,EmployeeCount,1
1761,EmployeeCount,1
1762,EmployeeCount,1
1763,EmployeeCount,1
1764,EmployeeCount,1
1766,EmployeeCount,1
1767,EmployeeCount,1
1768,EmployeeCount,1
1770,EmployeeCount,1
1771,EmployeeCount,1
1772,EmployeeCount,1
1774,EmployeeCount,1
1775,EmployeeCount,1
1778,EmployeeCount,1
1779,EmployeeCount,1
1780,EmployeeCount,1
1782,EmployeeCount,1
1783,EmployeeCount,1
1784,EmployeeCount,1
1786,EmployeeCount,1
1787,EmployeeCount,1
1789,EmployeeCount,1
1790,EmployeeCount,1
1792,EmployeeCount,1
1794,EmployeeCount,1
1797,EmployeeCount,1
1798,EmployeeCount,1
1799,EmployeeCount,1
1800,EmployeeCount,1
1801,EmployeeCount,1
1802,EmployeeCount,1
1803,EmployeeCount,1
1804,EmployeeCount,1
1805,EmployeeCount,1
1807,EmployeeCount,1
1809,EmployeeCount,1
1812,EmployeeCount,1
1813,EmployeeCount,1
1814,EmployeeCount,1
1815,EmployeeCount,1
1816,EmployeeCount,1
1818,EmployeeCount,1
1821,EmployeeCount,1
1822,EmployeeCount,1
1823,EmployeeCount,1
1824,EmployeeCount,1
1826,EmployeeCount,1
1827,EmployeeCount,1
1829,EmployeeCount,1
1830,EmployeeCount,1
1833,EmployeeCount,1
1834,EmployeeCount,1
1835,EmployeeCount,1
1836,EmployeeCount,1
1837,EmployeeCount,1
1839,EmployeeCount,1
1842,EmployeeCount,1
1844,EmployeeCount,1
1845,EmployeeCount,1
1847,EmployeeCount,1
1849,EmployeeCount,1
1850,EmployeeCount,1
1852,EmployeeCount,1
1853,EmployeeCount,1
1854,EmployeeCount,1
1856,EmployeeCount,1
1857,EmployeeCount,1
1858,EmployeeCount,1
1859,EmployeeCount,1
1860,EmployeeCount,1
1862,EmployeeCount,1
1863,EmployeeCount,1
1864,EmployeeCount,1
1865,EmployeeCount,1
1866,EmployeeCount,1
1867,EmployeeCount,1
1868,EmployeeCount,1
1869,EmployeeCount,1
1870,EmployeeCount,1
1871,EmployeeCount,1
1873,EmployeeCount,1
1875,EmployeeCount,1
1876,EmployeeCount,1
1878,EmployeeCount,1
1880,EmployeeCount,1
1881,EmployeeCount,1
1882,EmployeeCount,1
1883,EmployeeCount,1
1885,EmployeeCount,1
1886,EmployeeCount,1
1888,EmployeeCount,1
1890,EmployeeCount,1
1892,EmployeeCount,1
1893,EmployeeCount,1
1898,EmployeeCount,1
1900,EmployeeCount,1
1903,EmployeeCount,1
1905,EmployeeCount,1
1907,EmployeeCount,1
1908,EmployeeCount,1
1909,EmployeeCount,1
1911,EmployeeCount,1
1912,EmployeeCount,1
1915,EmployeeCount,1
1916,EmployeeCount,1
1918,EmployeeCount,1
1922,EmployeeCount,1
1924,EmployeeCount,1
1927,EmployeeCount,1
1928,EmployeeCount,1
1929,EmployeeCount,1
1931,EmployeeCount,1
1932,EmployeeCount,1
1933,EmployeeCount,1
1934,EmployeeCount,1
1935,EmployeeCount,1
1936,EmployeeCount,1
1937,EmployeeCount,1
1938,EmployeeCount,1
1939,EmployeeCount,1
1940,EmployeeCount,1
1941,EmployeeCount,1
1943,EmployeeCount,1
1944,EmployeeCount,1
1945,EmployeeCount,1
1947,EmployeeCount,1
1948,EmployeeCount,1
1949,EmployeeCount,1
1950,EmployeeCount,1
1951,EmployeeCount,1
1952,EmployeeCount,1
1954,EmployeeCount,1
1955,EmployeeCount,1
1956,EmployeeCount,1
1960,EmployeeCount,1
1961,EmployeeCount,1
1962,EmployeeCount,1
1965,EmployeeCount,1
1966,EmployeeCount,1
1967,EmployeeCount,1
1968,EmployeeCount,1
1969,EmployeeCount,1
1970,EmployeeCount,1
1971,EmployeeCount,1
1972,EmployeeCount,1
1973,EmployeeCount,1
1974,EmployeeCount,1
1975,EmployeeCount,1
1976,EmployeeCount,1
1979,EmployeeCount,1
1980,EmployeeCount,1
1981,EmployeeCount,1
1982,EmployeeCount,1
1985,EmployeeCount,1
1986,EmployeeCount,1
1987,EmployeeCount,1
1989,EmployeeCount,1
1992,EmployeeCount,1
1993,EmployeeCount,1
1994,EmployeeCount,1
1995,EmployeeCount,1
1996,EmployeeCount,1
1997,EmployeeCount,1
1998,EmployeeCount,1
1999,EmployeeCount,1
2000,EmployeeCount,1
2003,EmployeeCount,1
2007,EmployeeCount,1
2008,EmployeeCount,1
2009,EmployeeCount,1
2010,EmployeeCount,1
2012,EmployeeCount,1
2013,EmployeeCount,1
2014,EmployeeCount,1
2015,EmployeeCount,1
2016,EmployeeCount,1
2017,EmployeeCount,1
2018,EmployeeCount,1
2019,EmployeeCount,1
2020,EmployeeCount,1
2021,EmployeeCount,1
2022,EmployeeCount,1
2023,EmployeeCount,1
2024,EmployeeCount,1
2025,EmployeeCount,1
2026,EmployeeCount,1
2027,EmployeeCount,1
2031,EmployeeCount,1
2032,EmployeeCount,1
2034,EmployeeCount,1
2035,EmployeeCount,1
2036,EmployeeCount,1
2037,EmployeeCount,1
2038,EmployeeCount,1
2040,EmployeeCount,1
2041,EmployeeCount,1
2044,EmployeeCount,1
2045,EmployeeCount,1
2046,EmployeeCount,1
2048,EmployeeCount,1
2049,EmployeeCount,1
2051,EmployeeCount,1
2052,EmployeeCount,1
2053,EmployeeCount,1
2054,EmployeeCount,1
2055,EmployeeCount,1
2056,EmployeeCount,1
2057,EmployeeCount,1
2060,EmployeeCount,1
2061,EmployeeCount,1
2062,EmployeeCount,1
2064,EmployeeCount,1
2065,EmployeeCount,1
2068,EmployeeCount,1
1,Education,2
2,Education,1
4,Education,2
5,Education,4
7,Education,1
8,Education,2
10,Education,3
11,Education,1
12,Education,3
13,Education,3
14,Education,3
15,Education,2
16,Education,1
18,Education,2
19,Education,3
20,Education,4
21,Education,2
22,Education,2
23,Education,4
24,Education,3
26,Education,2
27,Education,4
28,Education,4
30,Education,2
31,Education,1
32,Education,3
33,Education,1
35,Education,4
36,Education,4
38,Education,4
39,Education,3
40,Education,4
41,Education,2
42,Education,3
45,Education,3
46,Education,2
47,Education,2
49,Education,3
51,Education,4
52,Education,3
53,Education,2
54,Education,4
55,Education,3
56,Education,3
57,Education,2
58,Education,3
60,Education,4
61,Education,2
62,Education,4
63,Education,1
64,Education,2
65,Education,4
68,Education,5
70,Education,2
72,Education,3
73,Education,2
74,Education,5
75,Education,4
76,Education,4
77,Education,4
78,Education,3
79,Education,5
80,Education,2
81,Education,3
83,Education,3
84,Education,3
85,Education,3
86,Education,3
88,Education,3
90,Education,3
91,Education,1
94,Education,3
95,Education,4
96,Education,3
97,Education,3
98,Education,4
100,Education,4
101,Education,4
102,Education,4
103,Education,2
104,Education,1
105,Education,3
106,Education,2
107,Education,3
110,Education,2
112,Education,3
113,Education,1
116,Education,4
117,Education,3
118,Education,2
119,Education,4
120,Education,4
121,Education,2
124,Education,3
125,Education,4
126,Education,4
128,Education,2
129,Education,3
131,Education,4
132,Education,3
133,Education,4
134,Education,1
137,Education,3
138,Education,4
139,Education,2
140,Education,4
141,Education,3
142,Education,3
143,Education,1
144,Education,3
145,Education,4
147,Education,3
148,Education,3
150,Education,1
151,Education,4
152,Education,3
153,Education,3
154,Education,2
155,Education,2
158,Education,2
159,Education,3
160,Education,2
161,Education,4
162,Education,3
163,Education,4
164,Education,3
165,Education,4
167,Education,1
169,Education,1
170,Education,4
171,Education,3
174,Education,3
175,Education,3
176,Education,1
177,Education,1
178,Education,2
179,Education,4
182,Education,4
183,Education,3
184,Education,3
190,Education,3
192,Education,3
193,Education,5
194,Education,3
195,Education,2
197,Education,3
198,Education,1
199,Education,3
200,Education,4
201,Education,1
202,Education,3
204,Education,5
205,Education,2
206,Education,3
207,Education,3
208,Education,1
211,Education,4
214,Education,3
215,Education,4
216,Education,4
217,Education,1
218,Education,3
221,Education,3
223,Education,2
224,Education,3
226,Education,3
227,Education,3
228,Education,3
230,Education,4
231,Education,5
233,Education,3
235,Education,1
238,Education,2
239,Education,3
240,Education,2
241,Education,3
242,Education,3
243,Education,3
244,Education,2
245,Education,2
246,Education,1
247,Education,2
248,Education,2
249,Education,3
250,Education,2
252,Education,3
253,Education,1
254,Education,4
256,Education,1
258,Education,3
259,Education,4
260,Education,3
261,Education,2
262,Education,3
264,Education,2
267,Education,3
269,Education,3
270,Education,2
271,Education,4
273,Education,3
274,Education,1
275,Education,4
277,Education,4
281,Education,2
282,Education,1
283,Education,3
284,Education,3
286,Education,1
287,Education,5
288,Education,4
291,Education,4
292,Education,1
293,Education,3
296,Education,4
297,Education,3
298,Education,3
299,Education,4
300,Education,3
302,Education,3
303,Education,3
304,Education,2
305,Education,4
306,Education,3
307,Education,3
308,Education,4
309,Education,3
311,Education,4
312,Education,1
314,Education,3
315,Education,1
316,Education,3
319,Education,2
321,Education,2
323,Education,4
325,Education,3
327,Education,3
328,Education,2
329,Education,4
330,Education,2
331,Education,3
332,Education,4
333,Education,4
334,Education,2
335,Education,2
336,Education,3
337,Education,4
338,Education,4
339,Education,4
340,Education,2
341,Education,4
342,Education,3
343,Education,4
346,Education,3
347,Education,2
349,Education,2
350,Education,3
351,Education,3
352,Education,2
353,Education,3
355,Education,2
359,Education,3
361,Education,2
362,Education,1
363,Education,3
364,Education,4
366,Education,3
367,Education,3
369,Education,2
372,Education,2
373,Education,3
374,Education,3
376,Education,4
377,Education,3
378,Education,4
379,Education,2
380,Education,4
381,Education,3
382,Education,2
384,Education,3
385,Education,1
386,Education,4
387,Education,1
388,Education,2
389,Education,2
390,Education,2
391,Education,3
392,Education,3
393,Education,4
394,Education,4
395,Education,2
396,Education,4
397,Education,3
399,Education,3
401,Education,4
403,Education,3
404,Education,3
405,Education,3
406,Education,3
407,Education,4
408,Education,3
410,Education,4
411,Education,3
412,Education,2
416,Education,3
417,Education,3
419,Education,4
420,Education,3
421,Education,2
422,Education,4
423,Education,4
424,Education,3
425,Education,3
426,Education,4
428,Education,4
429,Education,1
430,Education,4
431,Education,2
433,Education,4
434,Education,3
436,Education,2
437,Education,3
438,Education,3
439,Education,4
440,Education,4
441,Education,2
442,Education,2
444,Education,2
445,Education,2
446,Education,3
447,Education,5
448,Education,4
449,Education,1
450,Education,4
451,Education,3
452,Education,4
453,Education,2
454,Education,4
455,Education,5
456,Education,3
458,Education,4
460,Education,2
461,Education,2
462,Education,4
463,Education,1
464,Education,4
465,Education,1
466,Education,3
467,Education,1
468,Education,5
469,Education,3
470,Education,1
471,Education,3
473,Education,1
474,Education,3
475,Education,2
476,Education,3
477,Education,4
478,Education,1
479,Education,5
481,Education,4
482,Education,4
483,Education,4
484,Education,2
485,Education,3
486,Education,3
487,Education,4
488,Education,3
491,Education,3
492,Education,2
493,Education,4
494,Education,3
495,Education,3
496,Education,4
497,Education,2
498,Education,4
499,Education,3
500,Education,2
501,Education,3
502,Education,3
505,Education,3
507,Education,4
508,Education,1
510,Education,1
511,Education,3
513,Education,2
514,Education,3
515,Education,3
516,Education,2
517,Education,4
518,Education,4
520,Education,3
521,Education,3
522,Education,2
523,Education,4
524,Education,2
525,Education,3
526,Education,4
527,Education,2
529,Education,5
530,Education,2
531,Education,1
532,Education,3
533,Education,3
534,Education,3
536,Education,2
538,Education,3
543,Education,3
544,Education,2
546,Education,2
547,Education,2
548,Education,3
549,Education,3
550,Education,3
551,Education,4
554,Education,1
555,Education,2
556,Education,2
558,Education,4
560,Education,3
562,Education,3
564,Education,4
565,Education,5
566,Education,2
567,Education,4
568,Education,3
569,Education,4
571,Education,3
573,Education,3
574,Education,2
575,Education,3
577,Education,3
578,Education,4
579,Education,4
580,Education,3
581,Education,1
582,Education,1
584,Education,1
585,Education,1
586,Education,3
587,Education,3
590,Education,3
591,Education,2
592,Education,4
593,Education,1
595,Education,5
597,Education,5
599,Education,2
600,Education,3
601,Education,3
602,Education,1
604,Education,1
605,Education,3
606,Education,3
608,Education,4
611,Education,3
612,Education,5
613,Education,3
614,Education,3
615,Education,3
616,Education,4
618,Education,2
620,Education,3
621,Education,4
622,Education,3
623,Education,3
624,Education,1
625,Education,5
626,Education,4
630,Education,2
631,Education,4
632,Education,3
634,Education,3
635,Education,4
638,Education,4
639,Education,3
641,Education,2
643,Education,2
644,Education,3
645,Education,1
647,Education,3
648,Education,4
649,Education,2
650,Education,4
652,Education,2
653,Education,4
655,Education,4
656,Education,3
657,Education,3
659,Education,4
661,Education,4
662,Education,1
663,Education,5
664,Education,4
665,Education,4
666,Education,3
667,Education,1
669,Education,1
671,Education,4
675,Education,1
677,Education,4
679,Education,4
680,Education,3
682,Education,1
683,Education,5
684,Education,4
686,Education,3
689,Education,3
690,Education,2
691,Education,4
692,Education,3
698,Education,4
699,Education,2
700,Education,4
701,Education,1
702,Education,3
704,Education,3
705,Education,3
707,Education,3
709,Education,4
710,Education,4
712,Education,1
714,Education,1
715,Education,2
716,Education,1
717,Education,3
720,Education,2
721,Education,4
722,Education,3
723,Education,2
724,Education,4
725,Education,2
727,Education,2
728,Education,4
729,Education,4
730,Education,3
731,Education,4
732,Education,4
733,Education,2
734,Education,3
738,Education,4
741,Education,2
742,Education,3
743,Education,3
744,Education,3
746,Education,3
747,Education,5
749,Education,3
752,Education,3
754,Education,3
757,Education,2
758,Education,1
760,Education,3
762,Education,3
763,Education,1
764,Education,3
766,Education,3
769,Education,3
771,Education,4
772,Education,4
773,Education,5
775,Education,5
776,Education,4
780,Education,4
781,Education,1
783,Education,2
784,Education,1
785,Education,2
786,Education,3
787,Education,3
789,Education,4
791,Education,4
792,Education,2
793,Education,3
796,Education,3
797,Education,4
799,Education,4
800,Education,1
802,Education,1
803,Education,4
804,Education,4
805,Education,4
806,Education,3
807,Education,2
808,Education,2
809,Education,3
811,Education,3
812,Education,3
813,Education,4
815,Education,3
816,Education,2
817,Education,3
819,Education,3
820,Education,2
823,Education,3
824,Education,2
825,Education,4
826,Education,4
827,Education,2
828,Education,4
